static,dynamic,duration,type_comms,nb_deps_seq,chains_length,is_pipeline,nb_chains,topology,id_run
321.36,161.83,6372.85,push,3,1,False,3,clique,0
18879.9,205.3,186793.87,push,3,5,True,1,star,8
62665.2,479.16,439261.07,pull_anticipation,5,3,True,3,star,3
12934.74,488.77,92542.32,push,5,3,False,3,clique,0
49248.42,930.71,190658.83,pull_anticipation,5,5,True,3,clique,8
13979.16,203.87,229466.1,pull_anticipation,5,3,False,1,star,2
68530.02,304.81,478701.28,push,3,3,False,3,star,0
138827.52,948.43,522873.83,pull,5,5,True,3,clique,2
12854.4,503.68,93265.44,push,5,3,True,3,clique,9
18799.56,204.56,307981.54,push,5,3,True,1,star,4
4579.38,122.84,77024.68,push,3,3,False,1,clique,2
5945.16,204.1,100319.1,push,5,3,False,1,clique,0
11327.94,203.41,185213.48,pull_anticipation,5,3,True,1,star,8
21450.78,204.55,350528.62,pull_anticipation,5,3,True,1,clique,5
28922.4,123.18,471321.76,push,3,3,True,1,star,6
27476.28,125.24,447316.23,push,3,3,True,1,clique,1
98818.2,489.89,689926.31,pull,5,3,True,3,clique,3
320154.9,352.72,3114945.72,pull,5,5,False,1,star,7
29565.12,346.71,289961.19,push,5,5,True,1,star,9
77849.46,480.53,543578.02,pull_anticipation,5,3,False,3,star,1
21450.78,204.0,350528.62,pull_anticipation,5,3,False,1,star,5
8034.0,205.33,81341.68,push,3,5,False,1,clique,8
9801.48,340.14,100319.1,push,5,5,True,1,star,0
4579.38,122.84,77024.68,push,3,3,False,1,star,2
7551.96,206.97,77024.68,push,3,5,False,1,clique,2
9881.82,208.55,161891.49,push,5,3,True,1,clique,3
18799.56,123.02,307981.54,push,3,3,True,1,star,4
6909.24,122.1,115033.51,pull_anticipation,3,3,True,1,star,7
6909.24,122.59,115033.51,push,3,3,True,1,clique,7
11488.62,350.66,116108.99,push,5,5,False,1,clique,7
11488.62,343.0,116108.99,push,5,5,True,1,clique,7
11488.62,210.63,116108.99,push,3,5,False,1,clique,7
10604.88,291.56,77024.68,push,3,3,False,3,clique,2
13979.16,122.5,229466.1,pull,3,3,True,1,star,2
19281.6,521.11,140088.02,push,5,3,True,3,clique,0
8034.0,212.7,81395.79,push,3,5,False,1,clique,3
24664.38,342.74,245037.11,pull_anticipation,5,5,True,1,clique,7
18719.22,306.2,134203.53,push,3,3,False,3,clique,8
29565.12,208.58,289961.19,push,3,5,True,1,star,9
26994.24,288.79,190943.31,pull_anticipation,3,3,True,3,clique,6
25307.1,122.72,413293.62,pull,3,3,True,1,star,0
30529.2,367.03,299412.37,push,5,5,True,1,clique,1
5945.16,121.98,100319.1,pull_anticipation,3,3,True,1,clique,0
19442.28,122.61,319511.22,pull_anticipation,3,3,True,1,star,3
18879.9,357.89,186793.87,push,5,5,True,1,clique,8
14220.18,302.1,102500.14,push,3,3,False,3,clique,6
52221.0,204.79,849527.44,pull,5,3,True,1,star,3
52462.02,212.55,513737.46,push,3,5,True,1,star,3
17192.76,488.4,123979.03,pull_anticipation,5,3,True,3,clique,7
69895.8,343.79,682612.79,pull_anticipation,5,5,True,1,star,4
19281.6,313.5,140088.02,push,3,3,True,3,clique,0
67244.58,505.01,471734.55,push,5,3,True,3,star,6
66200.16,477.63,464050.15,pull_anticipation,5,3,True,3,star,8
48043.32,347.74,471321.76,push,5,5,True,1,star,6
94961.88,289.32,663482.51,pull,3,3,True,3,star,7
18719.22,481.44,134203.53,pull_anticipation,5,3,False,3,clique,8
46195.5,205.21,750847.86,pull,5,3,True,1,clique,4
62665.2,491.76,439261.07,push,5,3,True,3,star,3
9801.48,343.37,100319.1,push,5,5,False,1,clique,0
24021.66,122.83,392631.37,pull,3,3,False,1,clique,8
5945.16,203.84,100319.1,push,5,3,True,1,clique,0
68931.72,345.98,674761.67,pull,5,5,False,1,clique,9
127338.9,596.08,479898.72,push,3,5,False,3,star,0
10845.9,478.26,81501.46,pull_anticipation,5,3,False,3,clique,1
5945.16,203.11,100319.1,pull_anticipation,5,3,True,1,clique,0
102192.48,574.37,385574.37,push,3,5,False,3,star,5
134730.18,292.4,939832.18,pull,3,3,True,3,star,4
13818.48,204.7,140088.02,pull_anticipation,3,5,False,1,clique,0
32537.7,487.95,229633.5,push,5,3,False,3,star,7
23780.64,925.78,92542.32,pull_anticipation,5,5,False,3,clique,0
6909.24,204.13,115033.51,push,5,3,True,1,clique,7
49971.48,287.55,350528.62,pull_anticipation,3,3,True,3,star,5
40250.34,477.9,284601.25,pull_anticipation,5,3,True,3,star,2
196350.96,212.11,1911329.14,pull,3,5,False,1,star,6
195627.9,295.48,1361371.01,pull,3,3,False,3,star,6
39768.3,123.53,647854.07,pull,3,3,False,1,clique,3
67244.58,303.96,471734.55,push,3,3,True,3,star,6
42098.16,934.5,161891.49,pull_anticipation,5,5,True,3,clique,3
13818.48,340.65,140088.02,pull_anticipation,5,5,False,1,clique,0
18799.56,122.66,307981.54,pull_anticipation,3,3,False,1,clique,4
203822.58,212.56,1986697.6,pull,3,5,False,1,star,2
178676.16,292.83,1244523.53,pull,3,3,True,3,star,3
4579.38,204.6,77024.68,push,5,3,False,1,clique,2
69895.8,207.36,682612.79,pull_anticipation,3,5,True,1,star,4
21450.78,122.76,350528.62,pull_anticipation,3,3,False,1,star,5
17755.14,311.29,128026.81,push,3,3,True,3,clique,5
17996.16,482.88,128484.47,pull_anticipation,5,3,True,3,clique,3
9881.82,122.12,161307.04,pull_anticipation,3,3,False,1,clique,7
14943.24,325.64,108898.72,push,3,3,True,3,clique,3
67244.58,477.7,471734.55,pull_anticipation,5,3,True,3,star,6
20567.04,478.52,147394.14,pull_anticipation,5,3,False,3,clique,4
275325.18,914.02,1034496.99,pull_anticipation,5,5,False,3,star,7
74796.54,486.54,522873.83,pull,5,3,False,3,clique,2
19442.28,125.89,319511.22,push,3,3,False,1,star,3
217882.08,212.7,2123520.31,pull,3,5,False,1,star,7
7792.98,207.78,81501.46,push,3,5,False,1,clique,1
138345.48,943.67,522934.32,pull,5,5,True,3,clique,5
4579.38,204.6,77024.68,push,5,3,False,1,star,2
23780.64,290.14,169003.73,pull_anticipation,3,3,True,3,clique,5
52462.02,343.86,513737.46,pull_anticipation,5,5,True,1,star,3
313084.98,353.11,3048351.71,pull,5,5,False,1,star,2
15987.66,326.07,116108.99,push,3,3,False,3,clique,7
256686.3,546.06,963780.93,pull,3,5,True,3,star,9
18076.5,550.76,73004.02,pull_anticipation,3,5,False,3,clique,1
97050.72,571.45,366338.2,pull,3,5,True,3,clique,2
47480.94,124.0,772565.53,pull,3,3,False,1,star,2
72064.98,344.8,704044.65,pull,5,5,False,1,clique,8
40250.34,301.34,284601.25,push,3,3,False,3,star,2
238047.42,747.23,893911.4,push,3,5,False,3,star,2
127338.9,893.67,479898.72,pull_anticipation,5,5,True,3,star,0
18799.56,203.9,307981.54,pull_anticipation,5,3,False,1,star,4
19843.98,628.89,77627.63,push,3,5,False,3,clique,8
36153.0,204.26,588202.58,pull_anticipation,5,3,False,1,star,6
9801.48,341.26,100319.1,push,5,5,True,1,clique,0
164134.62,966.41,620264.94,push,5,5,True,3,star,1
18478.2,204.31,303902.45,pull,5,3,True,1,clique,2
7230.6,122.19,119962.89,pull,3,3,True,1,clique,2
10524.54,298.55,77214.83,push,3,3,False,3,clique,9
13416.78,204.73,134203.53,pull_anticipation,3,5,False,1,clique,8
29565.12,353.58,289961.19,push,5,5,False,1,star,9
16309.02,212.09,161891.49,push,3,5,True,1,clique,3
19442.28,203.84,319511.22,pull_anticipation,5,3,True,1,star,3
7792.98,340.92,81501.46,pull_anticipation,5,5,False,1,clique,1
30529.2,221.23,299412.37,push,3,5,True,1,clique,1
61299.42,343.81,599160.33,pull,5,5,False,1,clique,4
36313.68,204.63,591772.12,pull,5,3,False,1,clique,0
39768.3,123.53,647854.07,pull,3,3,True,1,clique,3
6909.24,203.34,115033.51,pull_anticipation,5,3,True,1,star,7
6748.56,203.33,112581.69,push,5,3,True,1,star,9
95363.58,343.59,930572.91,pull,5,5,True,1,star,8
24503.7,360.86,241476.45,push,5,5,True,1,clique,4
45954.48,205.06,747501.25,pull,5,3,False,1,clique,8
45311.76,207.15,444104.66,pull,3,5,False,1,clique,3
30689.88,205.41,303902.45,pull_anticipation,3,5,True,1,star,2
8034.0,354.1,81395.79,push,5,5,False,1,clique,3
125009.04,892.05,471734.55,pull_anticipation,5,5,True,3,star,6
434800.08,908.0,1631448.33,pull,5,5,True,3,star,3
6748.56,203.39,112581.69,pull_anticipation,5,3,False,1,star,9
7551.96,344.57,77024.68,push,5,5,False,1,clique,2
62665.2,500.61,439261.07,push,5,3,False,3,star,3
403065.78,356.9,3924105.83,pull,5,5,False,1,star,4
51578.28,205.07,837811.94,pull,5,3,True,1,star,4
58005.48,343.99,569289.51,pull,5,5,False,1,clique,1
64272.0,289.57,450104.6,pull_anticipation,3,3,False,3,star,5
7471.62,296.6,57960.98,push,3,3,False,3,clique,5
9881.82,125.32,161891.49,push,3,3,True,1,clique,3
10604.88,485.42,77024.68,push,5,3,False,3,clique,2
9881.82,209.08,161891.49,push,5,3,False,1,clique,3
10122.84,204.22,166007.83,push,5,3,False,1,clique,1
69895.8,223.16,682612.79,push,3,5,False,1,star,4
29806.14,291.57,210437.45,pull_anticipation,3,3,True,3,clique,0
4579.38,204.07,77024.68,push,5,3,True,1,star,2
6748.56,203.41,112581.69,pull_anticipation,5,3,True,1,clique,9
11488.62,206.04,116108.99,push,3,5,True,1,clique,7
28922.4,205.25,471321.76,push,5,3,False,1,star,6
8114.34,122.19,134203.53,pull_anticipation,3,3,False,1,clique,8
4579.38,203.27,77024.68,pull_anticipation,5,3,True,1,clique,2
15023.58,204.72,150164.19,pull_anticipation,3,5,False,1,clique,5
74314.5,562.58,284339.18,pull,3,5,False,3,clique,3
18799.56,204.56,307981.54,push,5,3,True,1,clique,4
10122.84,122.67,166007.83,push,3,3,False,1,clique,1
14220.18,496.07,102500.14,push,5,3,True,3,clique,6
6748.56,122.16,112581.69,pull_anticipation,3,3,False,1,clique,9
5945.16,203.28,100319.1,push,5,3,True,1,star,0
28922.4,122.69,471321.76,pull_anticipation,3,3,True,1,star,6
76323.0,289.59,534071.17,pull_anticipation,3,3,False,3,star,9
28922.4,122.68,471321.76,pull_anticipation,3,3,False,1,clique,6
19522.62,545.15,77214.83,pull_anticipation,3,5,False,3,clique,9
11327.94,122.2,185213.48,push,3,3,True,1,star,8
13175.76,205.42,132363.29,pull_anticipation,3,5,False,1,clique,3
10845.9,293.99,81501.46,push,3,3,False,3,clique,1
33501.78,204.34,544215.87,pull_anticipation,5,3,False,1,star,7
19281.6,290.29,140088.02,pull_anticipation,3,3,False,3,clique,0
46034.82,205.11,749285.97,pull,5,3,False,1,clique,9
14862.9,122.39,245037.11,pull,3,3,True,1,clique,7
77929.8,486.45,544215.87,pull,5,3,True,3,clique,7
9801.48,204.24,100319.1,push,3,5,True,1,star,0
54872.22,294.03,385798.67,pull,3,3,True,3,clique,3
33421.44,122.95,543578.02,pull_anticipation,3,3,False,1,star,1
18879.9,341.74,186793.87,push,5,5,True,1,star,8
26271.18,906.28,102500.14,pull_anticipation,5,5,False,3,clique,6
40250.34,500.51,284601.25,push,5,3,False,3,star,2
6748.56,122.11,112581.69,push,3,3,True,1,clique,9
17433.78,290.69,124607.56,pull_anticipation,3,3,True,3,clique,1
12774.06,122.36,210177.07,pull_anticipation,3,3,False,1,star,0
42821.22,206.01,421313.22,pull_anticipation,3,5,False,1,star,2
80420.34,489.6,562014.45,pull,5,3,False,3,clique,3
6748.56,204.13,112581.69,push,5,3,False,1,star,9
27556.62,927.86,108898.72,pull_anticipation,5,5,False,3,clique,3
203340.54,546.01,764470.95,pull_anticipation,3,5,True,3,star,4
9078.42,203.5,150164.19,pull_anticipation,5,3,False,1,clique,5
21450.78,125.37,350528.62,push,3,3,True,1,clique,5
12854.4,480.06,93265.44,pull_anticipation,5,3,False,3,clique,9
33421.44,204.68,543578.02,pull_anticipation,5,3,True,1,star,1
13175.76,479.11,96854.87,pull_anticipation,5,3,False,3,clique,5
30127.5,343.13,295564.8,pull_anticipation,5,5,True,1,clique,5
55675.62,350.75,544215.87,push,5,5,True,1,star,7
6909.24,204.13,115033.51,push,5,3,True,1,star,7
48043.32,205.76,471321.76,pull_anticipation,3,5,True,1,star,6
18719.22,508.74,134203.53,push,5,3,False,3,clique,8
21049.08,225.8,209313.48,push,3,5,True,1,clique,9
8114.34,122.61,134203.53,push,3,3,False,1,clique,8
11327.94,203.43,185213.48,push,5,3,True,1,star,8
46195.5,204.7,752673.49,pull,5,3,True,1,star,5
14862.9,301.99,108099.15,push,3,3,False,3,clique,4
149111.04,540.77,561859.23,pull_anticipation,3,5,True,3,star,1
39768.3,123.21,647854.07,pull,3,3,True,1,star,3
21049.08,207.0,209313.48,pull_anticipation,3,5,True,1,clique,9
27476.28,208.05,447316.23,push,5,3,True,1,clique,1
40491.36,205.48,658662.35,pull,5,3,False,1,clique,1
76644.36,289.94,538103.87,pull_anticipation,3,3,False,3,star,4
55675.62,205.65,543578.02,pull_anticipation,3,5,True,1,star,1
10845.9,287.27,81501.46,pull_anticipation,3,3,False,3,clique,1
67244.58,287.62,471734.55,pull_anticipation,3,3,True,3,star,6
68530.02,288.99,478701.28,pull_anticipation,3,3,False,3,star,0
56077.32,207.17,550111.19,pull,3,5,False,1,clique,7
24343.02,341.44,241690.24,pull_anticipation,5,5,False,1,clique,6
35670.96,354.27,350528.62,push,5,5,False,1,star,5
153449.4,946.03,577050.37,pull,5,5,True,3,clique,9
57925.14,554.25,220039.59,pull,3,5,False,3,clique,2
14220.18,479.87,103290.41,pull_anticipation,5,3,False,3,clique,2
37599.12,123.27,611444.06,pull,3,3,True,1,star,5
33421.44,204.19,543578.02,pull_anticipation,5,3,False,1,star,1
32457.36,344.17,319511.22,pull_anticipation,5,5,True,1,clique,3
173775.42,294.36,1209923.44,pull,3,3,False,3,star,1
203340.54,668.3,764470.95,push,3,5,False,3,star,4
40250.34,488.38,284601.25,push,5,3,True,3,star,2
29806.14,1161.84,116492.98,push,5,5,True,3,clique,7
15666.3,289.61,112898.5,pull_anticipation,3,3,True,3,clique,9
21450.78,125.02,350528.62,push,3,3,True,1,star,5
138506.16,291.73,967570.97,pull,3,3,True,3,star,1
49971.48,293.41,350528.62,push,3,3,True,3,star,5
12854.4,302.58,93265.44,push,3,3,True,3,clique,9
68931.72,345.73,674761.67,pull,5,5,True,1,clique,9
9801.48,203.56,100319.1,pull_anticipation,3,5,True,1,star,0
62183.16,124.22,1009768.8,pull,3,3,False,1,star,3
48846.72,935.6,186670.27,pull_anticipation,5,5,True,3,clique,7
69895.8,206.82,682612.79,pull_anticipation,3,5,False,1,star,4
117376.74,489.68,819619.62,pull,5,3,True,3,clique,4
62665.2,301.33,439261.07,push,3,3,False,3,star,3
46275.84,205.47,752747.76,pull,5,3,True,1,clique,1
48043.32,341.81,471321.76,pull_anticipation,5,5,True,1,star,6
6748.56,122.16,112581.69,pull_anticipation,3,3,False,1,star,9
28922.4,123.49,471321.76,push,3,3,False,1,star,6
10845.9,489.51,81501.46,push,5,3,False,3,clique,1
5945.16,122.56,100319.1,push,3,3,False,1,clique,0
69574.44,205.57,1130440.94,pull,5,3,True,1,star,7
8114.34,204.16,134203.53,push,5,3,False,1,clique,8
314852.46,1197.63,1182070.26,push,5,5,True,3,star,8
11890.32,994.77,49200.15,push,5,5,False,3,clique,6
69895.8,124.46,1134820.29,pull,3,3,False,1,star,1
44187.0,559.33,171251.13,pull_anticipation,3,5,True,3,clique,2
55675.62,211.25,544215.87,push,3,5,True,1,star,7
5945.16,122.4,100319.1,push,3,3,True,1,clique,0
55675.62,209.81,543578.02,push,3,5,True,1,star,1
15987.66,540.88,116108.99,push,5,3,False,3,clique,7
17755.14,517.51,128026.81,push,5,3,True,3,clique,5
74876.88,124.61,1217285.32,pull,3,3,False,1,star,7
36795.72,933.59,142092.56,pull_anticipation,5,5,True,3,clique,0
27476.28,123.31,447316.23,pull_anticipation,3,3,True,1,clique,1
49248.42,780.91,190658.83,push,3,5,True,3,clique,8
17433.78,211.94,173757.18,push,3,5,True,1,clique,2
6909.24,122.9,115033.51,push,3,3,False,1,clique,7
24343.02,205.39,241690.24,pull_anticipation,3,5,False,1,clique,6
13175.76,341.59,132363.29,pull_anticipation,5,5,False,1,clique,3
78492.18,207.02,767898.92,pull,3,5,True,1,star,8
24021.66,203.89,392631.37,pull_anticipation,5,3,False,1,star,8
38081.16,207.44,374401.14,pull,3,5,True,1,clique,2
40089.66,206.53,392642.51,pull,3,5,True,1,clique,8
66200.16,303.67,464050.15,push,3,3,False,3,star,8
59612.28,345.0,585400.36,pull,5,5,True,1,clique,8
6909.24,204.66,115033.51,push,5,3,False,1,clique,7
158992.86,540.71,600437.61,pull_anticipation,3,5,True,3,star,9
23218.26,290.35,167608.66,pull_anticipation,3,3,False,3,clique,7
17594.46,650.35,69880.32,push,3,5,False,3,clique,4
57764.46,205.11,939420.48,pull,5,3,True,1,star,1
21450.78,208.39,350528.62,push,5,3,True,1,clique,5
26994.24,480.08,190943.31,pull_anticipation,5,3,True,3,clique,6
115850.28,208.41,1130440.94,pull,3,5,True,1,star,7
91025.22,345.07,888933.38,pull,5,5,False,1,clique,7
74957.22,344.56,732402.48,pull,5,5,True,1,clique,4
416723.58,557.0,1561617.22,pull,3,5,True,3,star,7
158912.52,956.38,599017.42,push,5,5,True,3,star,7
55675.62,341.91,544215.87,pull_anticipation,5,5,True,1,star,7
